problem_difficulty,time_taken,attempts,hints_used,pause_duration,typing_speed,mouse_movement,cognitive_load
2,183.4304047081082,4,5,16.50865163796482,26.36295504029105,520.3321593928316,1
0,25.919388380378788,1,0,2.5808612782196385,42.19701922451921,50.0,0
2,146.27886989714239,4,1,21.879862508421887,28.13357182998026,653.9915145890325,1
2,170.85530351688803,5,2,25.574453539176794,18.557381947749292,293.143647899583,2
0,40.11982219919069,2,0,7.203494007641229,35.965194729914764,167.34781528121573,0
0,10.0,2,0,1.0,42.56064243347139,50.0,0
2,133.13253690921238,5,1,26.86748680863503,20.594291816114094,494.9076822536303,1
1,89.72900903905081,2,0,10.218771085666624,31.613511265823337,356.3099927550725,0
2,122.60603640629867,5,3,24.373537421807725,20.86610081483249,339.4623890283518,1
2,140.51651367140192,4,3,21.987904496695833,17.57782813324262,514.1653818251018,2
2,123.10629149512131,3,2,28.730868190395217,20.97868023885,521.8477067913527,1
2,142.5965873889322,5,3,25.58386549997299,24.866852679145854,646.2337682163361,1
0,23.267545453576783,1,0,4.4491603708411045,45.38053853950977,371.5149317222517,0
2,157.03509353187428,3,1,21.873751199425573,17.552417004073142,344.7030194262446,1
1,88.16481352000999,4,1,13.355793458117304,31.155029658652424,441.71536838325335,0
0,40.05579442081512,1,0,14.145304061630256,47.38555541440794,96.21197658602377,0
1,97.67088014947844,4,1,12.49457939638727,27.66054625470238,219.14287608679018,0
1,110.6267998852862,3,1,17.397034587982418,26.752768002837243,336.9053170255168,1
1,107.47566081920232,2,0,14.436768415561556,33.972014819844354,169.77086043136777,0
1,105.36247670269434,3,2,17.254126572870188,33.094796034902394,175.7387366195972,0
0,92.09734856933443,2,0,9.184879363466194,35.815119591339446,50.0,0
0,36.94805273284658,1,0,3.230107533394617,33.00269701521244,154.60890101232297,0
1,141.87143007717722,4,2,18.548867132225617,31.057780511481734,332.70118250193116,1
1,98.24436804487867,2,2,28.783197385029197,27.907014510675367,218.56163049396164,0
0,28.34298170388216,2,0,7.837699970958524,31.57961872685793,252.36018136916468,0
0,22.53669635573606,2,0,13.06790732299898,36.56398738075767,50.0,0
0,60.19451596896859,3,1,7.40523000053307,43.01304907517287,228.29895941455726,0
2,182.81006785775875,3,2,20.34019188901247,19.24294644544503,512.2080877033541,1
2,161.99567711929458,4,2,26.378469986264918,27.830520225093302,432.36316769887037,1
